artist,title,popularity,year,genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_decade,mood
Dan Berk,Lego House,4,2000,acoustic,0.575,0.391,0.0328,0.652,0.0,0.0775,0.527,79.932,2000,peaceful
Eddie Vedder,The Dark,38,2022,acoustic,0.433,0.961,0.0879,0.00123,0.0,0.0797,0.476,149.925,2020,peaceful
Diane Birch,The End,29,2017,acoustic,0.327,0.274,0.0395,0.792,0.041,0.107,0.217,123.946,2010,peaceful
Johnnyswim,Let It Matter,27,2016,acoustic,0.552,0.541,0.0527,0.108,0.0,0.134,0.285,74.939,2010,peaceful
Agustín Amigó,En el Bosque,33,2022,acoustic,0.425,0.194,0.113,0.979,0.937,0.109,0.272,84.74,2020,peaceful
Priscilla Ahn,I Don't Have Time To Be In Love,24,2011,acoustic,0.604,0.28,0.0334,0.724,0.0576,0.134,0.146,129.798,2010,peaceful
Aqualung,Easier To Lie,21,2005,acoustic,0.389,0.54,0.0318,0.478,0.0151,0.189,0.24,146.391,2000,peaceful
Georg Erixon,Daniel,20,2018,acoustic,0.622,0.226,0.0419,0.967,0.933,0.112,0.272,124.218,2010,peaceful
JJ Heller,Only Have One,11,2009,acoustic,0.62,0.254,0.0364,0.749,1.57e-06,0.113,0.376,74.997,2000,peaceful
Ichiko Aoba,"Hoshi no Present - ""gift"" ver.",32,2020,acoustic,0.606,0.0743,0.0313,0.971,0.715,0.0958,0.0397,91.848,2020,peaceful
Mischief Brew,Roll Me Through the Gates of Hell - Acoustic Version,25,2016,acoustic,0.488,0.627,0.0534,0.416,0.0,0.103,0.757,118.434,2010,peaceful
Joe Purdy,Kristine,31,2016,acoustic,0.625,0.452,0.033,0.689,0.373,0.107,0.429,92.883,2010,peaceful
Amos Lee,New Love,27,2016,acoustic,0.601,0.515,0.0344,0.123,0.00289,0.108,0.457,113.825,2010,peaceful
Aimyon,What If...,33,2019,acoustic,0.568,0.802,0.0317,0.0814,2.17e-06,0.14,0.562,124.147,2010,peaceful
Will Moore,Wonderful Tonight,25,2019,acoustic,0.549,0.193,0.0437,0.744,0.724,0.106,0.268,88.688,2010,peaceful
Eddie Vedder,Masters of War,38,2009,acoustic,0.339,0.366,0.0346,0.833,1.9e-06,0.704,0.662,175.612,2000,peaceful
Howie Day,"End of Our Days - Live at State Theater, Portland, ME - December 2003",1,2003,acoustic,0.491,0.46,0.0274,0.125,0.00649,0.182,0.194,75.853,2000,peaceful
